71
0.000000     0.000000
0.100000     0.033206
0.200000     0.066408
0.300000     0.099599
0.400000     0.132764
0.500000     0.165885
0.600000     0.198937
0.700000     0.231890
0.800000     0.264709
0.900000     0.297354
1.000000     0.329780
1.100000     0.361938
1.200000     0.393776
1.300000     0.425237
1.400000     0.456262
1.500000     0.486789
1.600000     0.516757
1.700000     0.546101
1.800000     0.574758
1.900000     0.602667
2.000000     0.629766
2.100000     0.655999
2.200000     0.681311
2.300000     0.705653
2.400000     0.728982
2.500000     0.751260
2.600000     0.772455
2.700000     0.792544
2.800000     0.811510
2.900000     0.829344
3.000000     0.846045
3.100000     0.861619
3.200000     0.876081
3.300000     0.889453
3.400000     0.901761
3.500000     0.913040
3.600000     0.923330
3.700000     0.932673
3.800000     0.941118
3.900000     0.948715
4.000000     0.955518
4.100000     0.961580
4.200000     0.966957
4.300000     0.971703
4.400000     0.975871
4.500000     0.979514
4.600000     0.982684
4.700000     0.985427
4.800000     0.987790
4.900000     0.989815
5.000000     0.991542
5.100000     0.993008
5.200000     0.994246
5.300000     0.995286
5.400000     0.996155
5.500000     0.996879
5.600000     0.997478
5.700000     0.997971
5.800000     0.998376
5.900000     0.998705
6.000000     0.998973
6.100000     0.999189
6.200000     0.999363
6.300000     0.999501
6.400000     0.999612
6.500000     0.999699
6.600000     0.999768
6.700000     0.999822
6.800000     0.999864
6.900000     0.999896
7.000000     0.999922
